Ticker,Market,Ticker_name
095570,KOSPI,AJ네트웍스
006840,KOSPI,AK홀딩스
027410,KOSPI,BGF
282330,KOSPI,BGF리테일
138930,KOSPI,BNK금융지주
001460,KOSPI,BYC
001465,KOSPI,BYC우
001040,KOSPI,CJ
079160,KOSPI,CJ CGV
00104K,KOSPI,CJ4우(전환)
000120,KOSPI,CJ대한통운
011150,KOSPI,CJ씨푸드
011155,KOSPI,CJ씨푸드1우
001045,KOSPI,CJ우
097950,KOSPI,CJ제일제당
097955,KOSPI,CJ제일제당 우
000480,KOSPI,CR홀딩스
000590,KOSPI,CS홀딩스
012030,KOSPI,DB
016610,KOSPI,DB금융투자
005830,KOSPI,DB손해보험
000990,KOSPI,DB하이텍
139130,KOSPI,DGB금융지주
001530,KOSPI,DI동일
000210,KOSPI,DL
000215,KOSPI,DL우
375500,KOSPI,DL이앤씨
37550L,KOSPI,DL이앤씨2우(전환)
37550K,KOSPI,DL이앤씨우
007340,KOSPI,DN오토모티브
004840,KOSPI,DRB동일
155660,KOSPI,DSR
069730,KOSPI,DSR제강
017860,KOSPI,DS단석
017940,KOSPI,E1
365550,KOSPI,ESR켄달스퀘어리츠
383220,KOSPI,F&F
007700,KOSPI,F&F홀딩스
114090,KOSPI,GKL
078930,KOSPI,GS
006360,KOSPI,GS건설
001250,KOSPI,GS글로벌
007070,KOSPI,GS리테일
078935,KOSPI,GS우
012630,KOSPI,HDC
039570,KOSPI,HDC랩스
089470,KOSPI,HDC현대EP
294870,KOSPI,HDC현대산업개발
009540,KOSPI,HD한국조선해양
267250,KOSPI,HD현대
267270,KOSPI,HD현대건설기계
443060,KOSPI,HD현대마린솔루션
071970,KOSPI,HD현대마린엔진
010620,KOSPI,HD현대미포
322000,KOSPI,HD현대에너지솔루션
042670,KOSPI,HD현대인프라코어
267260,KOSPI,HD현대일렉트릭
329180,KOSPI,HD현대중공업
097230,KOSPI,HJ중공업
014790,KOSPI,HL D&I
003580,KOSPI,HLB글로벌
204320,KOSPI,HL만도
060980,KOSPI,HL홀딩스
011200,KOSPI,HMM
035000,KOSPI,HS애드
002460,KOSPI,HS화성
487570,KOSPI,HS효성
298050,KOSPI,HS효성첨단소재
003560,KOSPI,IHQ
175330,KOSPI,JB금융지주
234080,KOSPI,JW생명과학
001060,KOSPI,JW중외제약
001067,KOSPI,JW중외제약2우B
001065,KOSPI,JW중외제약우
096760,KOSPI,JW홀딩스
105560,KOSPI,KB금융
432320,KOSPI,KB스타리츠
002380,KOSPI,KCC
344820,KOSPI,KCC글라스
009070,KOSPI,KCTC
009440,KOSPI,KC그린홀딩스
119650,KOSPI,KC코트렐
092220,KOSPI,KEC
003620,KOSPI,KG모빌리티
016380,KOSPI,KG스틸
001390,KOSPI,KG케미칼
033180,KOSPI,KH 필룩스
015590,KOSPI,KIB플러그에너지
001940,KOSPI,KISCO홀딩스
025000,KOSPI,KPX케미칼
092230,KOSPI,KPX홀딩스
000040,KOSPI,KR모터스
044450,KOSPI,KSS해운
030200,KOSPI,KT
033780,KOSPI,KT&G
058850,KOSPI,KTcs
058860,KOSPI,KTis
093050,KOSPI,LF
003550,KOSPI,LG
034220,KOSPI,LG디스플레이
051900,KOSPI,LG생활건강
051905,KOSPI,LG생활건강우
373220,KOSPI,LG에너지솔루션
003555,KOSPI,LG우
032640,KOSPI,LG유플러스
011070,KOSPI,LG이노텍
066570,KOSPI,LG전자
066575,KOSPI,LG전자우
037560,KOSPI,LG헬로비전
051910,KOSPI,LG화학
051915,KOSPI,LG화학우
079550,KOSPI,LIG넥스원
006260,KOSPI,LS
010120,KOSPI,LS ELECTRIC
000680,KOSPI,LS네트웍스
229640,KOSPI,LS에코에너지
108320,KOSPI,LX세미콘
001120,KOSPI,LX인터내셔널
108670,KOSPI,LX하우시스
108675,KOSPI,LX하우시스우
383800,KOSPI,LX홀딩스
38380K,KOSPI,LX홀딩스1우
023150,KOSPI,MH에탄올
035420,KOSPI,NAVER
181710,KOSPI,NHN
400760,KOSPI,NH올원리츠
005940,KOSPI,NH투자증권
005945,KOSPI,NH투자증권우
338100,KOSPI,NH프라임리츠
034310,KOSPI,NICE
030190,KOSPI,NICE평가정보
008260,KOSPI,NI스틸
004250,KOSPI,NPC
004255,KOSPI,NPC우
456040,KOSPI,OCI
010060,KOSPI,OCI홀딩스
178920,KOSPI,PI첨단소재
005490,KOSPI,POSCO홀딩스
010950,KOSPI,S-Oil
010955,KOSPI,S-Oil우
034120,KOSPI,SBS
005090,KOSPI,SGC에너지
001380,KOSPI,SG글로벌
004060,KOSPI,SG세계물산
001770,KOSPI,SHD
002360,KOSPI,SH에너지화학
009160,KOSPI,SIMPAC
033530,KOSPI,SJG세종
123700,KOSPI,SJM
025530,KOSPI,SJM홀딩스
034730,KOSPI,SK
011790,KOSPI,SKC
018670,KOSPI,SK가스
001740,KOSPI,SK네트웍스
006120,KOSPI,SK디스커버리
006125,KOSPI,SK디스커버리우
210980,KOSPI,SK디앤디
395400,KOSPI,SK리츠
302440,KOSPI,SK바이오사이언스
326030,KOSPI,SK바이오팜
402340,KOSPI,SK스퀘어
361610,KOSPI,SK아이이테크놀로지
100090,KOSPI,SK오션플랜트
03473K,KOSPI,SK우
096770,KOSPI,SK이노베이션
096775,KOSPI,SK이노베이션우
475150,KOSPI,SK이터닉스
001510,KOSPI,SK증권
001515,KOSPI,SK증권우
285130,KOSPI,SK케미칼
28513K,KOSPI,SK케미칼우
017670,KOSPI,SK텔레콤
000660,KOSPI,SK하이닉스
003570,KOSPI,SNT다이내믹스
064960,KOSPI,SNT모티브
100840,KOSPI,SNT에너지
036530,KOSPI,SNT홀딩스
005610,KOSPI,SPC삼립
011810,KOSPI,STX
465770,KOSPI,STX그린로지스
077970,KOSPI,STX엔진
002820,KOSPI,SUN&L
084870,KOSPI,TBH글로벌
002710,KOSPI,TCC스틸
069260,KOSPI,TKG휴켐스
007980,KOSPI,TP
002900,KOSPI,TYM
024070,KOSPI,WISCOM
037270,KOSPI,YG PLUS
000500,KOSPI,가온전선
000860,KOSPI,강남제비스코
035250,KOSPI,강원랜드
011420,KOSPI,갤럭시아에스엠
002100,KOSPI,경농
009450,KOSPI,경동나비엔
